a;ö
administrations;ädmInistrEIšönz
administrations';ädmInistrEIšönz
administrative;ödmInistrEItiv
administratively;ädmInistrEItivli
administrator;ödmInistrEItör
administrator's;ädmInistrEItörz
administrators;ädmInistrEItörz
administrators';ädmInistrEItörz
admins;Ädminz
admira;ädmAIrö
admira's;ädmAIröz
admirable;Ädmöröböl
admirable(1);Ädmröböl
admirably;Ädmöröbli
admiral;Ädmöröl
admiral's;Ädmörölz
admirals;Ädmörölz
admiralty;Ädmörölti
admiration;ÄdmörEIšön
admirations;ÄdmörEIšönz
admire;ädmAIr
admired;ödmAIörd
admirer;ädmAIrör
admirers;ödmAIrörz
admires;ädmAIrz
admiring;ädmAIrin
admiringly;ädmAIrinli
admissibility;ödmIsöbIlöti
admissible;ödmIsöböl
admission;ädmIšön
admission(1);ödmIšön
admissions;ädmIšönz
admissions(1);ödmIšönz
admit;ödmIt
admits;ödmIts
admittance;ödmItöns
admitted;ödmItöd
admittedly;ädmItidli
admitting;ädmItin
admitting(1);ödmItin
admonish;ädmÁniš
admonished;ödmÁništ
admonishes;ädmÁnišiz
admonishing;ädmÁnišin
admonishment;ädmÁnišment
admonition;ÄdmönIšön
admonitions;ÄdmönIšönz
admonitory;ÄdmOnitOri
adnan;Ädnön
adney;Ädni
ado;ödU
adobe;ödOUbi
adobe's;ödOUbiz
adolescence;ÄdölEsöns
adolescence(1);ÄdoulEsöns
adolescent;ÄdölEsönt
adolescent(1);ÄdoulEsönt
adolescents;ÄdölEsönts
adolescents(1);ÄdoulEsönts
adolf;EIdalf
adolf's;EIdalfs
adolfo;ödÁlfOU
adolph;EIdolf
adolpha;adOUlfö
adolphson;Ädoulfsön
adolphus;ödOlfös
adon;adOn
adonia;adOUniö
adonis;ödÁnös
adopt;ödÁpt
adoptable;ödÁptöböl
adopted;ödÁptöd
adoptee;ödÁptÍ
adoptees;ödÁptÍz
adopter;ödÁptör
adopters;ödÁptörz
adopting;ödÁptin
adoption;ödÁpšön
adoptions;ödÁpšönz
adoptive;ödÁptiv
adopts;ödÁpts
ador;adOr
adora;adOrö
adorabelle;Ädöröböl
adorable;ödOröböl
adoration;ÄdörEIšön
adore;ödOr
adored;ödOrd
adoree;ädörÍ
adorees;ädörÍz
adores;ödOrz
adoring;ödOrin
adorn;ödOrn
adorna;adOrnö
adorned;ödOrnd
adorning;ödOrnin
adornment;ödOrnmönt
adorno;adOrnou
adorns;ödOrnz
adra;EIdrö
adragna;adrÁgnö
adrda;EIdördö
adrea;Ádriö
adrenal;ödrÍnöl
adrenalin;ödrEnölin
adrenaline;ödrEnölön
adria;Ádriö
adrian;EIdriön
adriana;EIdriÄnö
adriance;adrÍöns
adriano;adriÁnou
adriatic;EIdriÄtik
adriel;ödrÍl
adrienne;adriEn
adrift;ödrIft
adroit;ödrOIt
adroitly;ödrOItli
ads;Ädz
ads';Ädz
adsit;Ädsit
adss;Äds
adss(1);EIdÍEsEs
adstar;Ädstar
adsteam;Ädstim
adtec;ÄdtEk
adulate;ÄdžölEIt
adulation;ÄdžölEIšön
aduliadae;ödUliÁdei
adult;ödAlt
adult(1);Ädölt
adulterate;ödAltörEIt
adulterated;ödAltörEItid
adulterates;ödAltörEIts
adulteration;ödaltörEIšön
adulterer;ödAltörör
adulterers;ödAltörörz
adulterous;ödAltörös
adultery;ödAltöri
adulthood;ödAlthUd
adults;ödAlts
adults(1);Ädölts
adults';ödAlts
adults'(1);Ädölts
adusdur;Ädösdör
advacare;ÄdvökEr
advalue;ÄdvölU
advance;ödvÄns
advance's;ödvÄnsiz
advanced;ödvÄnst
advancement;ödvÄnsmönt
advancements;ödvÄnsmönts
advancer;ödvÄnsör
advancers;ödvÄnsörz
advances;ödvÄnsiz
advancing;ödvÄnsin
advani;ädvÁni
advanta;ädvÄntö
advanta(1);ödvÄntö
advanta's;ädvÄntöz
advanta's(1);ödvÄntöz
advantage;ädvÄntidž
advantaged;ädvÄntidžd
advantageous;ÄdvöntEIdžös
advantages;ädvÄntidžiz
advantest;ädvÄntöst
advection;ädvEkšön
advent;ÄdvEnt
adventist;ÄdvEntist
adventists;ÄdvEntists
adventists(1);ÄdvEntis
adventure;ädvEnčör
adventure(1);ödvEnčör
adventurer;ädvEnčörör
adventurer(1);ödvEnčörör
adventurers;ädvEnčörörz
adventurers(1);ödvEnčörörz
adventures;ädvEnčörz
adventuresome;ädvEnčörsöm
adventurism;ädvEnčörIzöm
adventurous;ädvEnčörös
adverb;Ädvörb
adverbial;ädvÖRbiöl
adverbs;Ädvörbz
adversarial;ÄdvörsEriöl
adversaries;ÄdvörsEriz
adversary;ÄdvörsEri
adverse;ädvÖRs
adverse(1);ÄdvÖRs
adverse(2);ÄdvÖRs
adversely;ädvÖRsli
adversity;ädvÖRsitÍ
advertise;ÄdvörtAIz
advertised;ÄdvörtAIzd
advertised(1);ÄdvörtAIzd
advertisement;ädvÖRtözmönt
advertisement(1);ÄdvörtAIzmönt
advertisements;ÄdvörtAIzmönts
advertiser;ÄdvörtAIzör
advertiser's;ÄdvörtAIzörz
advertisers;ÄdvörtAIzörz
advertisers';ÄdvÖRtAIzörz
advertises;ÄdvörtAIziz
advertising;ÄdvörtAIzin
advertising's;ÄdvörtAIzinz
advertorial;ÄdvörtOriöl
advertorials;ÄdvörtOriölz
advest;Ädvest
advice;ädvAIs
advice(1);ödvAIs
advil;ÄdvIl
advil's;ÄdvIlz
advisability;ÄdvAIzöbIliti
advisable;ödvAIzöböl
advise;ädvAIz
advise(1);ödvAIz
advised;ädvAIzd
advised(1);ödvAIzd
advisedly;ädvAIzödli
advisedly(1);ödvAIzödli
advisement;ödvAIzmönt
adviser;ädvAIzör
adviser's;ödvAIzörz
advisers;ädvAIzörz
advisers';ÄdvAIzörz
advises;ädvAIziz
advising;ädvAIzin
advisor;ädvAIzör
advisories;ödvAIzöriz
advisors;ädvAIzörz
advisory;ädvAIzöri
advo;Ädvou
advocacy;Ädvökösi
advocate;Ädvököt
advocate(1);ÄdvökEIt
advocate's;Ädvököts
advocated;ÄdvökEItid
advocates;Ädvököts
advocates(1);ÄdvökEIts
advocating;ÄdvökEItin
advocation;ÄdvökEIšön
adweek;Ädwik
adwell;ödwEl
ady;EIdi
adz;Ädz
ae;EI
aegean;EIdžÍön
aegerter;Egörtör
aegis;Ídžös
aegon;EIgan
aeltus;Ältös
aeneas;Äniös
aeneid;önÍid
aeolus;Eoulus
aequitron;EIkwitran
aer;Er
aerial;Eriöl
aerials;Eriölz
aerie;Eri
aerien;Eriön
aeriens;Eriönz
aeritalia;EritÄljö
aero;Erou
aerobatic;EröbÄtik
aerobatics;EröbÄtiks
aerobic;erOUbik
aerobically;erOUbikli
aerobics;örOUbiks
aerodrome;ErödrOUm
aerodromes;ErödrOUmz
aerodynamic;EroudainÄmik
aerodynamically;EroudainÄmikli
aerodynamicist;EroudainÄmisist
aerodynamicists;EroudainÄmisists
aerodynamicists(1);EroudainÄmisis
aerodynamics;EroudainÄmiks
aerodyne;ErödAIn
aerodyne's;ErödAInz
aeroflot;ErouflÁt
aeroflot's;ErouflÁts
aerogenosa;ErödžönOUsö
aerojet;EroudžEt
aerojets;EroudžEts
aerolift;EroulIft
aerolifts;EroulIfts
aerolineas;EroulIniös
aeromar;Erömar
aeromar(1);Eroumar
aeromexico;EroumEksikOU
aeromexico's;EroumEksikOUz
aeronautic;ErounÁtök
aeronautical;ErounÁtököl
aeronautical(1);ErönÁtököl
aeronauticas;ErounOtikös
aeronautics;ErönOtiks
aeroperu;EroupeirU
aeroperu's;EroupeirUz
aeroquip;ErökwIp
aerosmith;ErousmIt
aerosmith's;ErousmIts
aerosol;ErösÁl
aerosols;ErösÁlz
aerospace;ErouspEIs
aerospace's;ErouspEIsiz
aerospatiale;ErouspÁsiÁl
aerospatiale's;ErouspÁsiÁlz
aerostar;EroustÁr
aerostar's;EroustÁrz
aerostars;EroustÁrz
aerostat;EroustÄt
aerostat's;EroustÄts
aerostats;EroustÄts
aerotech;EroutEk
aerovias;erouvÍöz
aerts;Erts
aeschelus;Eskölös
aeschliman;Ešlimön
aesop;ÍsÁp
aesop's;ÍsÁps
aesthenopia;ästönOpjö
aesthete;Estit
aesthete's;Estits
aesthetes;Estits
aesthetic;estEtik
aesthetically;estEtikli
aesthetics;estEtiks
aetna;Etnö
aetna's;Etnöz
afanasyev;ÄfönEIsiev
afar;öfÁr
affable;Äföböl
affably;Äföbli
affair;öfEr
affair's;öfErz
affairs;öfErz
affect;öfEkt
affectation;ÄfektEIšön
affected;öfEktid
affecting;öfEktin
affection;öfEkšön
affectionate;öfEkšönöt
affectionately;öfEkšönötli
affections;öfEkšönz
affective;öfEktiv
affectively;öfEktivli
affects;öfEkts
affeldt;Äfilt
afferent;Äförönt
affiant;Äfiönt
affidavit;ÄfödEIvöt
affidavits;ÄfidEIvits
affiliate;öfIliEIt
affiliate(1);öfIliöt
affiliate's;öfIliEIts
affiliated;öfIliEItid
affiliated's;öfIliEItidz
affiliates;öfIliöts
affiliates(1);öfIliEIts
affiliates';öfIliits
affiliating;öfIliEItin
affiliation;öfIliEIšön
affiliations;öfIliEIšönz
affine;öfAIn
affined;öfAInd
affines;öfAInz
affining;öfAInin
affinities;öfInötiz
affinity;öfIniti
affirm;öfÖRm
affirmation;ÄförmEIšön
affirmations;ÄförmEIšönz
affirmative;öfÖRmötiv
affirmatively;öfÖRmötivli
affirmed;öfÖRmd
affirming;öfÖRmin
affirms;öfÖRmz
affix;Äfiks
affix(1);öfIks
affixed;öfIkst
affixes;Äfiksiz
affixes(1);öfIksiz
affixing;öfIksin
affleck;Äflik
afflerbach;ÄflörbÁk
afflict;öflIkt
afflicted;öflIktid
afflicting;öflIktin
affliction;öflIkšön
afflictions;öflIkšönz
afflicts;öflIkts
afflik;ÄflIk
affluence;Äfluöns
affluent;Äfluönt
affolter;Äfoultör
afford;öfOrd
affordability;öfOrdöbIlöti
affordable;öfOrdöböl
affordably;öfOrdöbli
afforded;öfOrdöd
affording;öfOrdin
affords;öfOrdz
affricate;Äfrököt
affricates;Äfrököts
affrication;ÄfrökEIšön
affront;öfrAnt
affronted;öfrAntid
affronting;öfrAntin
affronts;öfrAnts
affymax;ÄfimÄks
afghan;ÄfgÄn
afghani;äfgÁni
afghani's;äfgÄniz
afghanis;äfgÄniz
afghanistan;äfgÄnöstÄn
afghanistan's;äfgÄnöstÄnz
afghanistans;äfgÄnöstÄnz
afghans;ÄfgÄnz
afheldt;ÄfElt
aficionado;öfÍšjönÁdOU
aficionados;öfIšönÁdouz
afield;öfÍld
afire;öfAIr
aflame;öflEIm
aflatoxin;ÄflötÁksin
afloat;öflOUt
aflutter;öflAtör
afmed;Äfmed
afonso;öfÁnsou
afoot;öfUt
aforementioned;öfOrmEnšönd
aforesaid;öfOrsEd
aforethought;öfOrtÁt
afoul;öfAUl
afraid;öfrEId
afresh;öfrEš
africa;Äfrika
africa's;Äfrikaz
african;Äfrikan
african-american;ÄfrikönömErikön
african-americans;ÄfrikönömErikönz
africanist;Äfrikanist
africanist's;Äfrikanists
africanists;Äfrikanists
africanize;ÄfrökanAIz
africanized;ÄfrökanAIzd
africans;Äfrikönz
afridi;öfrÍdi
afrikaans;ÄfrökÁnz
afrikaner;ÄfrökÁnör
afrikanerdom;ÄfrökÁnördöm
afrikaners;ÄfrikÁnörz
afro;Äfrou
afroamerican;ÄfrouömErikön
afroamericans;ÄfrouömErikönz
afrocentric;ÄfrousEntrik
afsane;afsÁnEI
afsane's;afsÁnEIz
afshar;Äfšör
afshar's;Äfšörz
aft;Äft
after;Äftör
after-room;ÄftörrUm
afterall;ÄftörÁl
afterburner;ÄftörbÖRnör
afterburners;ÄftörbÖRnörz
aftereffect;ÄftöröfEkt
aftereffects;ÄftöröfEkts
afterglow;ÄftörglOU
afterglows;ÄftörglOUz
afterhours;ÄftörhAUörz
afterimage;ÄftörImidž
afterimages;ÄftörImidžiz
afterlife;ÄftörlAIf
afterlives;ÄftörlAIvz
aftermarket;ÄftörmÁrkit
aftermarkets;ÄftörmÁrkits
aftermath;ÄftörmÄt
aftermaths;ÄftörmÄts
afternoon;ÄftörnUn
afternoon's;ÄftörnUnz
afternoons;ÄftörnUnz
aftershave;ÄftöršEIv
aftershaves;ÄftöršEIvz
aftershock;ÄftöršÁk
aftershocks;ÄftöršÁks
aftertaste;ÄftörtEIst
aftertastes;ÄftörtEIsts
aftertastes(1);ÄftörtEIs
aftertax;ÄftörtÄks
afterthought;ÄftörtÁt
afterthought(1);ÄftörtOt
afterthoughts;ÄftörtÁts
afterthoughts(1);ÄftörtOts
afterward;Äftörwörd
afterwards;Äftörwördz
afula;öfUlö
afula's;öfUlöz
ag;Äg
ag(1);EIgÍ
ag's;Ägz
aga;Ágö
agache;Ägäč
agache's;Ägäčöz
agaches;Ägäčöz
again;ögEn
again(1);ögEIn
against;ögEnst
against(1);ögEInst
agamemnon;ÄgömEmnÁn
agamemnon's;ÄgömEmnÁnz
agan;EIgön
agana;ögÁnö
aganbegyan;ÄgönbEgjön
agans;Áganz
agape;ögEIp
agar;EIgör
agard;Ägörd
agarwal;Ágarwal
agasp;ögÄsp
agassi;Ägösi
agassiz;ögÄsiz
agate;Ägöt
agates;Ägöts
agatha;Ägötö
agawam;ÄgöwÁm
agco;ÄgkOU
age;EIdž
age's;EIdžiz
aged;EIdžd
aged(1);EIdžid
agee;EIdžÍ
agee's;EIdžiz
ageless;EIdžlös
agematsu;ÄgömÄtsu
agence;Ädžöns
agencies;EIdžönsiz
agencies';EIdžönsiz
agency;EIdžönsi
agency's;EIdžönsiz
agenda;ödžEndö
agendas;ödžEndöz
agent;EIdžönt
agent's;EIdžönts
agents;EIdžönts
agents';EIdžönts
ager;EIdžör
ageratum;ödžErötöm
ageratums;ödžErötömz
agers;EIdžörz
agers';EIdžörz
agerton;EIgörtön
ages;EIdžiz
agfa;Ägfö
aggarwal;ögÁrwöl
aggie;Ägi
aggies;Ägiz
agglomerate;öglÁmörEIt
agglomeration;öglÁmörEIšön
agglutinate;öglUtinEIt
aggrandize;ögrÄndAIz
aggrandizement;ÄgröndAIzmönt
aggrandizement(1);ögrÄndAIzmönt
aggrandizing;ÄgröndAIzin
aggrandizing(1);ögrÄndAIzin
aggravate;ÄgrövEIt
aggravated;ÄgrövEItid
aggravates;ÄgrövEIts
aggravating;ÄgrövEItin
aggravation;ÄgrövEIšön
aggregate;Ägrögöt
aggregate(1);Ägrögeit
aggregated;ÄgrögEItöd
aggregates;Ägrögits
aggregates(1);ÄgrögEIts
aggregation;ÄgrögEIšön
aggress;ögrEs
aggression;ögrEšön
aggressions;ögrEšönz
aggressive;ögrEsiv
aggressively;ögrEsivli
aggressiveness;ögrEsivnös
aggressivity;ögresIviti
aggressor;ögrEsör
aggressors;ögrEsörz
aggrey;ägrEI
aggrieve;ögrÍv
aggrieved;ögrÍvd
aggy;Ägi
aghast;ögÄst
aghazadeh;ÄgözÁdE
agie;Ägi
agildo;ögIldou
agile;Ädžöl
agilis;ödžIlös
agility;ödžIlöti
agin;adžÍn
agincourt;ÄdžönkOrt
aging;EIdžin
agins;EIginz
agip;EIgip
agitate;ÄdžötEIt
agitated;ÄdžötEItöd
agitating;ÄdžötEItin
agitation;ÄdžötEIšön
agitator;ÄdžötEItör
agitators;ÄdžitEItörz
agitprop;ÄdžötprOp
agius;EIdžiis
agleam;öglÍm
agler;Äglör
aglitter;öglItör
aglo;öglOU
aglow;öglOU
agna;Ägna
agne;Ägni
agnella;ÄgnElö
agnelli;ÄgnEli
agnelli's;ÄgnEliz
agnellis;ÄgnEliz
agnello;ÄgnElou
agner;Ägnör
agnes;Ägnis
agneta;agnEtö
agnew;Ägnu
agnew(1);Ägnju
agnico;ÄgnikOU
agnor;Ägnör
agnos;Ägnous
agnosio;ägnOUsiou
agnostic;ägnÁstik
agnostics;ägnÁstiks
ago;ögOU
agog;ögÁg
agoglia;ögÁgliö
agonies;Ägöniz
agonist;Ägönist
agonists;Ägönists
agonists(1);Ägönis
agonize;ÄgönAIz
agonized;ÄgönAIzd
agonizes;ÄgönAIziz
agonizing;Ägönaizin
agonizingly;ÄgönAIzinlÍ
agony;Ägöni
agora;Ägörö
agoraphobia;ögOröfOUbiö
agosta;agOUstö
agostinelli;agoustinEli
agostini;agoustÍni
agostino;agostÍnou
agosto;agOUstou
agoura;ögUrö
agouron;ögUran
agra;Ägrö
agrarian;ögrEriön
agrarianism;ögrEriönIzöm
agrawal;ögrÄwöl
agree;ögrÍ
agreeable;ögrÍöböl
agreed;ögrÍd
agreeing;ögrÍin
agreement;ögrÍmönt
agreement's;ögrÍmönts
agreements;ögrÍmönts
agrees;ögrÍz
agregable;ögrEdžöböl
agregious;ögrÍdžiös
agresource;ÁgresOrs
agresource(1);ÄgrösOrs
agresta;agrEstö
agresti;agrEsti
agrexco;agrEkskou
agri;Ägri
agribank;ÄgribÄnk
agribusiness;ÄgröbIznös
agrico;ögrÍkou
agricola;ÄgrikOUlö
agricole;ÄgrikOUl
agricultural;ÄgrikAlčöröl
agriculturalist;ÄgrikAlčörölöst
agriculturally;ÄgrikAlčöröli
agriculture;Ägrikalčör
agriculture's;Ägrikalčörz
agrifuel;ÄgröfjUl
agrifuels;ÄgröfjUlz
agrigenetics;ÄgrödžönEtiks
agrippa;ögrIpö
agrivisor;ÄgrövAIzör
agro;Ägrou
agrochemical;ÄgroukEmiköl
agrochemicals;ÄgroukEmikölz
agroindustrial;ÄgrouidAstriöl
agrokomerc;ÄgrökoumÖRk
agronomist;ögrÁnömist
agronomists;ögrÁnömists
agronomists(1);ögrÁnömis
agrosiand;ögrOUsiönd
aground;ögrAUnd
agrusa;agrUsö
agua;Ágwö
aguacate;ÄgwökEIt
aguadilla;ÁgwödIlö
aguado;agwÁdou
aguanga;ögwÁngö
aguascalientes;ÁgwöskäljEntes
aguayo;agwEIou
agudelo;agudEIlou
aguero;agErou
aguiar;Ágwiör
aguila;agwÍlö
aguilar;Ägölar
aguilera;agwilErö
aguillar;Ägölar
aguillard;Ägilörd
aguillon;agwilOn
aguilo;ögwÍlou
aguinaga;aguinÁgö
aguirra;ögwIrö
aguirra's;ögwIröz
aguirre;agwIrei
aguirre(1);ögwIrei
aguirre's;agwIreiz
aguirre's(1);ögwIreiz
agustin;ögOstin
ah;Á
aha;ÁhÁ
ahab;EIhÄb
ahah;Áha
aharon;Ähöran
ahart;öhÁrt
ahasuerus;öhÄšöwErös
ahaulsie;öhÁlsi
ahead;öhEd
ahearn;öhÖRn
aherin;Áörin
ahern;öhÖRn
aherne;öhÖRn
ahh;Á
ahl;Ál
ahlberg;Álbörg
ahlborn;Álbörn
ahlen;ölEIn
ahlen(1);Álön
ahlers;Álörz
ahles;EIölz
ahlf;Álf
ahlgren;Álgren
ahlgrim;Álgrim
ahlin;Álin
ahlman;Álmön
ahlquist;ÁlkwIst
ahlquist's;ÁlkwIsts
ahlquists;ÁlkwIsts
ahlstrand;Álströnd
ahlstrom;Álström
ahluwalia;öluÁljö
ahmad;Ámad
ahmadi;amÁdi
ahmann;Ámön
ahmanson;Ámönsön
ahmanson's;Ámönsönz
ahmansons;Ámönsönz
ahmed;Ámöd
ahmed(1);Ámed
ahmeek;Amik
ahmoudi;amUdi
ahn;Än
ahnell;anEl
ahner;Ánör
aho;Áhou
ahola;Ähölö
ahold;öhOUld
ahold's;öhOUldz
aholds;öhOUldz
ahonen;öhOUnön
ahoskie;öhOski
ahoy;öhOI
ahr;Ár
ahranat;örÁnöt
ahren;Árön
ahrendt;Árint
ahrens;Árinz
ahs;Áz
ahsahka;asÁkö
ahuja;ahUjö
ahumada;ajumÁdö
ahwahnee;öwÁni
ai;AI
ai(1);EIAI
aichele;AIköl
aicher;AIkör
aichi;aÍči
aickin;EIkin
aid;EId
aid's;EIdz
aida;aiÍdö
aidan;EIdan
aide;EId
aide's;EIdz
aided;EIdid
aiden;EIdEn
aidenn;EIdEn
aides;EIdz
aides';EIdz
aidid;AIdÍd
aidid's;AIdÍdz
aiding;EIdin
aids;EIdz
aiello;AIElou
aiesha;AIšö
aigner;EInör
aigner(1);enjEI
aigner(2);EIknör
aiguebelle;AIgöbEl
aiken;EIkin
aikens;EIkinz
aikey;EIki
aikin;EIkin
aikins;AIkinz
aikman;EIkmön
aikoff;AIkOf
ail;EIl
ailee;EIlÍ
aileen;ailÍn
aileron;EIlörÁn
ailerons;EIlörÁnz
ailes;AIlz
ailes(1);EIlz
ailey;EIli
ailing;EIlin
ailment;EIlmönt
ailments;EIlmönts
ailor;EIlör
ails;EIlz
ailsa;EIlsö
ailurophile;eilUröfail
ailurophile(1);eilUröfaiöl
aim;EIm
aim's;EImz
aimal;AImöl
aiman;AImön
aime;EIm
aimed;EImd
aimee;EImÍ
aimetti;eimEti
aiming;EImin
aimless;EImlös
aimlessly;EImlösli
aimone;EImOUn
aims;EImz
ain't;EInt
aine;EIn
ainge;EIn
ainge(1);EIndž
ainley;EInli
ainsberg;EInzbörg
ainsley;EInsli
ainslie;EInzli
ainsworth;EInswört
ainsworth's;EInzwörts
ainu;EInU
aipac;AIpÄk
aipac's;AIpÄks
air;Er
air's;Erz
air-conditioning;ErköndIšönin
airbag;ErbÄg
airbags;ErbÄgz
airbase;ErbEIs
airbases;ErbEIsis
airboat;Erbout
airboats;Erbouts
airborne;ErbOrn
airborne's;ErbOrnz
airbus;Erbös
airbus's;Erbösiz
aircal;Erkal
aircal's;ErkÄlz
airco;Erkou
aircoa;ErkOUö
aircondition;ErköndIšön
airconditioned;ErköndIšönd
airconditioner;ErköndIšönör
airconditioning;ErköndIšönin
airconditions;ErköndIšönz
aircraft;ErkrÄft
aircraft's;ErkrÄfts
aircrafts;ErkrÄfts
aircrew;ErkrU
aird;Erd
airdrop;Erdrap
airdrops;Erdraps
aired;Erd
airedale;ErdEIl
airedales;ErdEIlz
aires;Eriz
airey;Eri
airfare;ErfEr
airfares;ErfErz
airfield;ErfÍld
airfields;ErfÍldz
airflow;Erflou
airflows;Erflouz
airfoil;ErfOIl
airfoils;ErfOIlz
airfone;ErfOUn
airfones;ErfOUnz
airforce;Erfors
airforces;Erforsiz
airframe;ErfrEIm
airframes;ErfrEImz
airfreight;ErfrEIt
airgas;ErgÄs
airglow;ErglOU
airhart;Erhart
airhead;ErhEd
airheadz;ErhEdz
airing;Erin
airington;Erintön
airless;Erlös
airlia;Erliö
airlie;Erli
airlift;ErlIft
airlifted;ErlIftid
airlifter;ErlIftör
airlifters;ErlIftörz
airlifting;ErlIftin
airlifts;ErlIfts
airline;ErlAIn
airline's;ErlAInz
airliner;ErlAInör
airliner's;ErlAInörz
airliners;ErlAInörz
airlines;ErlAInz
airlines';ErlAInz
airlink;ErlInk
airlinks;ErlInks
airlock;ErlOk
airlocks;ErlOks
airmail;ErmEIl
airman;Ermön
airman's;Ermönz
airmen;ErmEn
airmotive;ErmOUtiv
airplane;ErplEIn
airplane's;Erpleinz
airplanes;Erpleinz
airport;ErpOrt
airport's;ErpOrts
airporter;ErpOrtör
airporters;ErpOrtörz
airports;ErpOrts
airpower;ErpAUör
airs;Erz
airshare;Eršer
airship;EršIp
airships;EršIps
airspace;ErspEIs
airspaces;ErspEIsiz
airspeed;ErspÍd
airstrike;ErstrAIk
airstrikes;ErstrAIks
airstrip;ErstrIp
airstrips;ErstrIps
airtight;ErtAIt
airtime;ErtAIm
airtouch;Ertač
airtran;ErtrÄn
airwave;ErwEIv
airwaves;ErwEIvz
airway;ErwEI
airway's;ErwEIz
airways;ErwEIz
airways';ErwEIz
airways's;ErwEIziz
airwing;Erwin
airwings;Erwinz
airworthiness;ErwÖRdinös
airworthy;ErwÖRdi
airy;Eri
air_force;Erfors
ais;AIz
aisa;aiÍsö
aisha;AIšö
aisle;AIl
aisle(1);AIöl
aisles;AIlz
aisles(1);AIölz
aisling;EIslin
aislinn;EIslin
aist;EIst
aitchison;EIčisön
aithne;EItn
aitken;AItkön
aiton;aÍtoun
aiwa;AIwö
aix;Eks
aix(1);EIks
aix-en-provence;EIksanprövOns
aix-en-provence(1);EksanprövOns
aix-la-chapelle;EIkslÁšöpEl
aix-la-chapelle(1);EkslÁšöpEl
aja;AIö
ajaj;ödžÁdž
ajaj's;ödžÁdžiz
ajami;EIdžÁmi
ajar;ödžÁr
ajax;EIdžÄks
ajax's;EIdžÄksöz
ajax's(1);EIdžÄksiz
ajay;Edžei
ajinomoto;ödžInömOUtou
ajito;ödžÍtou
ajito(1);öhÍtou
aka;Ákö
aka(1);EIkEIEI
akai;ökAI
akaka;ökÁkö
akali;ökÁli
akamine;ÄkömAIn
akana;akÁnö
akao;ökEIou
akao(1);ökÁw
akard;Äkörd
akashi;ökÁši
akashi's;ökÁšiz
akbar;Äkbör
akbar(1);ÁkbÁr
akbash;Äkbäš
akc;Äk
ake;EIk
akebono;ÄkibOUnou
akel;ökEl
akella;ökElö
aken;EIkön
akens;EIkönz
aker;Äkör
aker(1);EIkör
akerley;ökÖRli
akerman;Äkörmön
akers;EIkörz
akers's;EIkörziz
akerson;Äkörsön
akey;ökÍ
akhtar;Äktör
aki;Áki
akiba;ökÍbö
akihito;ÁkihÍtOU
akiko;ökÍkou
akimbo;ökImbOU
akin;ökIn
akin(1);EIkin
akins;ökInz
akins(1);EIkinz
akio;Ákiou
akira;ökÍrö
akita;ökÍtö
akita's;ökÍtöz
akiva;ökÍvö
akiyama;akijÁmö
akkadian;ökEIdiön
akkerman;Äkörmön
akre;Äkör
akridge;ökrIdž
akron;Äkrön
aksamit;Äksömit
aksler;Äkslör
akst;Äkst
akyanama;ÄkjÁnamö
akzo;Äkzou
akzo's;Äkzouz
akzos;Äkzouz
al;Äl
al's;Älz
al-qaeda;ÁlkAIda
al.;Äl
al.(1);ÄlöbÄmö
ala;Älö
ala(1);EIlö
alabama;ÄlöbÄmö
alabama's;ÄlöbÄmöz
alabaman;ÄlöbÄmön
alabamans;ÄlöbÄmönz
alabaster;ÄlöbÄstör
alachlor;ölÄklör
alachua;ölÄčuö
alacrity;ölÄkröti
aladdin;älÄdin
aladeen;älödÍn
alafi;ölÁfi
alagappan;alögÁpön
alagem;Älödžem
alagna;alÁgnö
alagoas;ÄlögOUz
alai;ölAI
alaimo;ölEImou
alain;ölEIn
alaine;ölEIn
alair;ölEr
alam;ölÄm
alamance;ÄlömÄns
alamco;ölÄmkou
alameda;ÄlömÍdö
alamein;ÄlömEIn
alamillo;ÄlömIlou
alamito;ÄlömÍtou
alamitos;ÄlömÍtous
alamo;Älömou
alamodome;ÄlömoudOUm
alamos;Älömouz
alamosa;ÄlömOUsö
alamoud;ÄlömUd
alamoudi;ÁlamUdi
alamoudi(1);ÄlamUdi
alan;Älön
alan's;Älönz
alana;alÄnö
alanco;ölÄnkou
aland;Älönd
alane;ölEIn
alanis;alÁnis
alaniz;Älöniz
alann;Älän
alanna;alÁnö
alar;EIlÁr
alarcon;ölÁrkÁn
alard;ölÁrd
alaric;Älörik
alarica;alarÍkö
alarice;alÁris
alarid;ölErid
alarie;ölEri
alarm;ölÁrm
alarm's;ölÁrmz
alarmed;ölÁrmd
alarming;ölÁrmin
alarmingly;ölÁrminli
alarmist;ölÁrmist
alarmists;ölÁrmists
alarms;ölÁrmz
alaron;ölErön
alas;ölÄs
alaska;ölÄskö
alaska's;ölÄsköz
alaskamen;ölÄskömön
alaskan;ölÄskön
alaskans;ölÄskönz
alastair;ÄlöstEr
alaster;Älöstör
alatas;ölÁtös
alatorre;alatOri
alayne;ölEIn
alba;Älbö
albach;Älbak
albacore;ÄlbökOr
alban;Álbön
albanese;albanEIzi
albani;älbÁni
albani's;älbÁniz
albania;älbEIniö
albania's;älbEIniöz
albanian;älbEIniön
albanians;älbEIniönz
albank;albÄnk
albano;albÁnou
albans;Älbänz
albany;Olböni
albany's;Olböniz
